Missenden Abbey,,,,No,Crafts | Wood Carving | Origami | Picture Framing | Mosaic | Model Making | Games | Card Games | All Games | Music | Musical Instrument Making | Music Playing | Ukulele | Security / Police / Armed Forces | Private Investigation | Soft Furnishings | Lace Making | Felt Work | Fabric Painting | Batik | Tapestry | Fabric Dyeing | Collage,Great Missenden HP16 0PY | Iver SL0 0HS | London RoadGreat Missenden Buckinghamshire HP16 0BDUnited Kingdom | Iver SL0 0HS | Iver SL0 0HS
Castle Street Centre,,,,No,Crafts | Wood Carving | Fitness | Keep Fit | Games | All Games | Science | Natural History | Sports | Badminton | Card Games | Gardening | Christmas Flowers,Fareham PO16 9BD | Portchester PO16 9PP | Fareham PO16 9BD | Fareham PO16 9BD
Sussex Downs College Lewes Campus,,,,No,Crafts | Wood Carving,Eastbourne BN21 2UF
Ardington School of Crafts,,,,No,Crafts | Wood Carving | Lampshade Making | Glass Painting | DIY & Home Improvements | Decorative Paintwork | Engineering | Ship & Boat Building Engineering | Fashion | Leather Goods Design | Dress (Self Presentation) | Weaving | Graphic Art | FreeHand | Gardening | Planting plants & shrubs | Jewellery | Beading | Language | Swedish | Soft Furnishings | Lace Making | Felt Work | Batik | Tapestry | Rug Making | Writing | Bookbinding | Fabric Painting | Collage | Enamelling,Wantage OX12 8PN | School RoadArdington Oxfordshire ox12 8pnUnited Kingdom | Wantage OX12 8PN | Wantage OX12 8PN
Herefordshire and Ludlow College,,,,No,Crafts | Furniture Design | Forestry | Forestry Operations | All Forestry | Oil and Mining | All Oil and Mining | Chemical & Materials Engineering | Politics | International Politics | Road Vehicle Engineering | All Road Vehicle Engineering | Science | Geology | Semi-Medical Therapies | Sports Physiotherapy | Soft Furnishings | Embroidery | Tassel Making | Sports | Archery | Oil & Gas Operations | Chainsaw,Hereford HR1 1LS | Hereford HR1 1LS | Hereford HR1 1LS
John Lloyd Fine Furniture,,,,No,Crafts | Furniture Design | Furniture Making | Ornamental Woodwork | Woodworking | Traditional Wood Crafts | DIY & Home Improvements | Cabinet Making | Carpentry,Burgess Hill RH15 0SJ | Ditchling CommonEast Sussex West Sussex RH15 0SJUnited Kingdom | Burgess Hill RH15 0SJ | Burgess Hill RH15 0SJ
City of York Council,,,,No,Crafts | Furniture Design | Mosaic | Dance | Ballet | Jive Dancing | Latin Dance | Tap Dancing | Driving | Bicycle Maintenance | Fashion | Weaving | Fitness | Aerobics | Zumba | Gardening | Christmas Flowers | Wedding flowers | Literature | African literature | Photography | SLR | Soft Furnishings | Felt Work | Sports | Walking | Vehicle Maintenance | Gear Box | Car Steering | Cookery | Vegetarian Cookery,York YO24 3WZ | York YO31 1AY | York YO30 7BJ | York YO31 8LG | York YO1 8AS | York YO32 3QZ | York YO32 9WT | York YO31 1DX | York YO23 1WF | York YO23 2RA | York YO1 7FR | York YO10 4FY | York YO1 7DS | 1 Centre St #530New York New York 10007United States | York YO24 3WZ | York YO32 9WT
Newcastle College,,,,No,Crafts | Furniture Design | Dance | Ballroom Dancing | Stone carving | Dance Teaching | DIY & Home Improvements | Welding | Tiling | Engineering | Engineering Operations | Metal Working Finishing | Rail Vehicle Engineering | Ship & Boat Building Engineering | Environment | Energy Management | Cleansing | Film & Television | Dvd Studio Pro | Fitness | Circuit | Sports Massage | Health & Safety | AED | NEBOSH | Humanities | Religious Studies | General Studies | Classics | HR | Trade Union Representatives | Jewellery | Jewellery Design | Law | Legal Practice | Manufacture | Chemical Products | Music | DJ | Music Playing | Drumming | Nurse | Mental Health Nursing | Midwifery | Network Systems Management | Sharepoint | Care Of Dying Nursing | Operating Systems | Logic Pro | Performance Art | Drama Teaching | Musical Theatre | Personal Appearance | Body Art | Threading | Personal Development | Social Skills | Sales & Retailing | CIM | Road Vehicle Engineering | All Road Vehicle Engineering | Programming | PHP | Fashion Retail | Science | Geology | Geography | Semi-Medical Therapies | Occupational Therapy | Services To Industry & Commerce | Maintenance Engineering | Industrial Design | Facilities Management | Sports | Football Coaching | Physical Education | Therapeutic | Indian head massage | Typing | E-type | Vehicle Maintenance | Car Engine Repair | Car Body Repair | Teaching | BSL | Social Work | Voluntary Work | Mental Health / Addiction Nursing | Nursing: Specific Conditions | Legal Procedures | Safety Administration / Regulations | Engineering Services | TUC | Protective Clothing / Equipment Use | Courses to help with disability | Life skills,Newcastle Upon Tyne NE4 7SA | Newcastle Upon Tyne NE4 7SH | Newcastle Upon Tyne NE4 7HX | Newcastle Upon Tyne NE6 3QS | Wallsend NE28 6HH | Gateshead NE10 0JP | Wallsend NE28 6RN | Middlesbrough TS1 2DU | This is a distance learning course | Newcastle Upon Tyne NE1 8SB | Rye Hill Campus Scotswood RoadNewcastle Upon Tyne Northumberland NE4 7SAUnited Kingdom | Newcastle Upon Tyne NE4 7SA | Newcastle Upon Tyne NE4 7SA
Richmond Adult Community College,,,,No,Crafts | Furniture Design | Glass Painting | Picture Framing | Dance | Ballroom Dancing | Belly Dancing | Ballet | Jive Dancing | Salsa | Street Dance | English | English Grammar | Environment | CIEH | Fashion | Textile Design | Sewing Machine | Fashion Accessories | Film & Television | Film Lighting | Fitness | Tai Chi | Pilates | Gardening | Floristry | Graphic Art | Image Processing | Creative Suite | History | Art History | Modern History | HR | HR Recruitment | War History | Humanities | General Studies | Journalism | Photojournalism | Language | Modern Greek | Literature | Shakespeare | Poetry | European literature | Music | Music Composition | European music | MIDI Programming | Network Systems Management | CCNA | Music Playing | Ensemble Playing | Drumming | Brass Instrument | Acoustic Guitar | Band Musicianship | Ukulele | Piano | Jazz / Blues | Performance Art | Choral Singing | Audition | Musical Theatre | Singing | Personal Appearance | Electrolysis | Personal Development | Stress Control | Assertiveness | Crisis / Illness Self Help | Philosophy | Metaphysics | Photography | Portrait Photography | Photoshop for photographers | Sales & Retailing | Market Research | E-Business | Search Engine Optimisation | Sports | Canoeing | Writing | Novel Writing | Script Writing | Print Design | Writing For Newspapers | Comedy Writing | Web design | Apps | Teaching | BSL | Soft Furnishings | Fabric Painting | Self Presentation | Waxing | Linguistics | Writing For Children | Printing | Water Sports | Saxophone | Music Appreciation | Linguistic | All Linguistic | English as a Foreign Language | Folk Dance | Collage | Enamelling | Cookery | Vegetarian Cookery | Wine Tasting,Richmond TW9 2RE | Richmond TW9 1DH | Teddington TW11 9QH | Clifden RoadTwickenham London TW1 4LTUnited Kingdom | Richmond TW9 2RE | Richmond TW9 2RE
Derbyshire Eco Centre,,,,No,Crafts | Glass Painting,Matlock DE4 4LS
